"","id","created_time","snippet","headline","news_desk","company_name"
"3057",7,"2017-04-13T14:32:19+0000","The deaths were the third instance in a month of American-led airstrikes possibly killing civilians or allies in the fight against the Islamic State.","18 Syrian Fighters Allied With U.S. Are Killed in Coalition Airstrike","Foreign","American Express"
"3058",8,"2017-01-30T01:52:56+0000","Iraqi officials were taken aback by the executive order, which they learned about through the American news media because they had not been consulted first.","Trump’s Immigration Order Jolts Iraqis, U.S.’s Top Allies Against ISIS","National","American Express"
"3059",9,"2017-09-04T19:16:57+0000","Killer clowns provide some mayhem, but this season, titled “Cult,” finds its terror in the fear and anger of a fragmented citizenry.","‘American Horror Story’ Sets Scares in Postelection America","Business","American Express"
"3060",10,"2017-05-03T13:23:09+0000","Monday marked the first time a black woman has ever served as American University’s student government president. That same day, the bananas appeared.","F.B.I. Helping American University Investigate Bananas Found Hanging From Nooses","National","American Express"
"3061",1,"2017-06-27T11:00:03+0000","Her first acquisition, by the debut novelist Fatima Farheen Mirza, follows an Indian-American family.","Sarah Jessica Parker Reveals First Book Acquisition, and Her A.L.A. Book Club Pick","BookReview","American Express"
"3062",2,"2017-02-07T14:04:18+0000","Cries of “Long live the United States! Long live Wilson!” and a standing ovation greeted the entrance of the American ambassador to watch a matinée at the Opéra-Comique.","1917: Audience Hails U.S. at ‘Madama Butterfly’ in Paris","Foreign","American Express"
"3063",3,"2017-04-10T17:39:35+0000","Two people ate salad from a container before discovering the remains of the bat inside, officials said, adding that the occurrence was rare.","Dead Bat Found Inside Package of Salad in Florida, Officials Say","Business","American Express"
"3064",4,"2017-12-12T10:45:25+0000","The determination and perseverance that have made Chinese students winners at home can deepen their sense of frustration abroad.","Chinese, Studying in America, and Struggling","OpEd","American Express"
"3065",5,"2017-11-09T16:15:44+0000","Mellody Hobson, the president of Ariel Investments, a Chicago investment firm, spoke about the lack of diversity in corporate America at the annual DealBook conference on Thursday.","Wanted: A ‘Corporate Kaepernick.’ Mellody Hobson on Workplace Diversity","Business","American Express"
"3066",6,"2017-07-27T00:58:38+0000","Anger erupted at the president after his move to bar transgender people from the military, with many citing his supportive words for L.G.B.T. people last year.","Furious Gay Rights Advocates See Trump’s ‘True Colors’","National","American Express"
